short_name,station_id,legacy_id,capacity,name,lat,lon,date,year
3199.01,8dc8c0b3-4d70-40fe-a75a-86e30ecb676b,4364,20,Caton Ave & E 7 St,40.647718,-73.973663,2022-12-12,2022
3199.01,8dc8c0b3-4d70-40fe-a75a-86e30ecb676b,4364,20,Caton Ave & E 7 St,40.647718,-73.973663,2021-09-22,2021
3202.06,328d778a-7e71-4240-acae-b84f0fdaa5c5,4411,27,48 St & 5 Ave,40.646351,-74.009271,2024-09-26,2024
3202.06,328d778a-7e71-4240-acae-b84f0fdaa5c5,4411,27,48 St & 5 Ave,40.646351,-74.009271,2023-03-22,2023
3202.06,328d778a-7e71-4240-acae-b84f0fdaa5c5,4411,27,48 St & 5 Ave,40.646351,-74.009271,2022-12-12,2022
3202.06,328d778a-7e71-4240-acae-b84f0fdaa5c5,4411,27,48 St & 5 Ave,40.646351,-74.009271,2021-09-22,2021
3205.06,1823008917260927616,1823008917260927616,24,Brooklyn Ave & Tilden Ave,40.64725,-73.94352,2024-09-26,2024
3208.07,dfb8b9c8-3006-4b76-963a-95f7471dc0a8,4377,22,Dahill Rd & 12 Ave,40.646037,-73.980963,2024-09-26,2024
3208.07,dfb8b9c8-3006-4b76-963a-95f7471dc0a8,4377,22,Dahill Rd & 12 Ave,40.646037,-73.980963,2023-03-22,2023
3208.07,dfb8b9c8-3006-4b76-963a-95f7471dc0a8,4377,22,Dahill Rd & 12 Ave,40.646037,-73.980963,2022-12-12,2022
3208.07,dfb8b9c8-3006-4b76-963a-95f7471dc0a8,4377,22,Dahill Rd & 12 Ave,40.646037,-73.980963,2021-09-22,2021
3211.06,6969d756-33a6-4a0b-83d0-3db38bc382d1,4412,30,53 St & 2 Ave,40.64744,-74.018846,2024-09-26,2024
3211.06,6969d756-33a6-4a0b-83d0-3db38bc382d1,4412,30,53 St & 2 Ave,40.64744,-74.018846,2023-03-22,2023
3211.06,6969d756-33a6-4a0b-83d0-3db38bc382d1,4412,30,53 St & 2 Ave,40.64744,-74.018846,2022-12-12,2022
3211.06,6969d756-33a6-4a0b-83d0-3db38bc382d1,4412,3,53 St & 2 Ave,40.64744,-74.018846,2021-09-22,2021
3214.04,1820420129807491554,1820420129807491554,19,Tilden Ave & Lott St,40.64661,-73.95401,2024-09-26,2024
3220.01,711ccb32-e1bc-4577-ac7b-50592cc9b8a0,4548,31,58 St & Pier 4,40.646475,-74.026081,2024-09-26,2024
3220.01,711ccb32-e1bc-4577-ac7b-50592cc9b8a0,4548,31,58 St & Pier 4,40.646475,-74.026081,2023-03-22,2023
3220.01,711ccb32-e1bc-4577-ac7b-50592cc9b8a0,4548,31,58 St & Pier 4,40.646475,-74.026081,2022-12-12,2022
3223.07,1819720453019329398,1819720453019329398,23,Ocean Ave & Tennis Ct,40.64873,-73.96084,2024-09-26,2024
3229.07,1815968345907104578,1815968345907104578,28,E 48 St & Tilden Ave,40.64795,-73.93182,2024-09-26,2024
3230.01,e85c3165-ad0a-44a3-9683-d8cf7575f465,4361,30,Caton Ave & E 10 St,40.648481,-73.97058,2024-09-26,2024
3230.01,e85c3165-ad0a-44a3-9683-d8cf7575f465,4361,30,Caton Ave & E 10 St,40.648481,-73.97058,2023-03-22,2023
3230.01,e85c3165-ad0a-44a3-9683-d8cf7575f465,4361,30,Caton Ave & E 10 St,40.648481,-73.97058,2022-12-12,2022
3230.01,e85c3165-ad0a-44a3-9683-d8cf7575f465,4361,30,Caton Ave & E 10 St,40.648481,-73.97058,2021-09-22,2021
3233.02,1975559886658995034,1975559886658995034,24,5 Ave & 44 St,40.64865,-74.00646,2024-09-26,2024
